image_file_name,pmcid,question,choices,answer_text,answer,tag
ijspt_2024_19_1_90707_188326.jpg,PMC10761629,Which description best matches the lifter’s spinal posture at the start position?,"[A] Subtle axial rotation to one side—shoulders not square
[B] Thoracic rounding with otherwise neutral lumbar spine—upper back kyphosis
[C] Hyperextended lumbar spine with anterior pelvic tilt—excessive arch
[D] Mild lumbar flexion due to posterior pelvic tilt—lower back slightly rounded
[E] Globally neutral spine—flat back with natural lumbar lordosis maintained",Globally neutral spine—flat back with natural lumbar lordosis maintained,E,Trunk & Extremities
ijspt_2024_19_1_90707_188326.jpg,PMC10761629,Which statement best describes the lower-extremity alignment shown?,"[A] Feet flat with knees tracking roughly over their respective toes
[B] Mild valgus: knees drifting toward the midline despite feet neutral
[C] Left heel lifted with weight shifted onto the forefoot
[D] Feet excessively turned inward (pigeon-toed) relative to knee orientation
[E] Feet markedly turned out (>30°) with knees pointing straight ahead",Feet flat with knees tracking roughly over their respective toes,A,Trunk & Extremities
IJO-60-119-g005.jpg,PMC3339071,Which ocular problem most commonly causes this compensatory head posture?,"[A] Infantile nystagmus with a superior‑gaze null point
[B] Brow ptosis causing upper visual field loss
[C] Bilateral upper eyelid ptosis
[D] Severe unilateral right upper eyelid ptosis
[E] Comitant esotropia requiring a left face turn",Bilateral upper eyelid ptosis,C,Eyes
IJO-60-119-g005.jpg,PMC3339071,What visual benefit does this posture provide?,"[A] Permits viewing above the occluding upper lid
[B] Facilitates viewing above the lid margin by elevating the chin
[C] Reduces accommodative demand for near work
[D] Minimizes glare from overhead lighting
[E] Improves peripheral awareness to the sides",Facilitates viewing above the lid margin by elevating the chin,B,Eyes
SNI-4-49-g011.jpg,PMC3640229,Which area appears injured in this image?,"[A] Left hand
[B] Left eye
[C] Right skull
[D] Neck",Left eye,B,Head & Neck
SNI-4-49-g011.jpg,PMC3640229,"Based on this image, what symptom is this patient most likely to have?","[A] Agnosia
[B] Color vision deficiency
[C] No symptoms suggested by image
[D] Face blindness
[E] Poor depth perception",Poor depth perception,E,Head & Neck
IJPS-43-81-g001.jpg,PMC2938632,Which finding is visible at the most dependent part of the mass?,"[A] Thick eschar formation at the lowest margin
[B] Pedunculated cutaneous tag protruding inferiorly
[C] Ulceration/erosion
[D] Intact, hyperpigmented skin without break",Ulceration/erosion,C,Head & Neck
IJPS-43-81-g001.jpg,PMC2938632,Which description best characterizes the lesion’s morphology?,"[A] Diffuse hemifacial soft-tissue hypertrophy with ill-defined borders and no discrete mass
[B] Soft, compressible, bluish venous malformation that blanches on pressure
[C] Pendulous, lobulated soft-tissue mass with redundant skin and a dependent ulceration
[D] Broad-based sessile lobulated mass with taut skin and superficial crusts, no ulceration
[E] Pendulous, lobulated soft-tissue mass with redundant skin but intact overlying epidermis","Pendulous, lobulated soft-tissue mass with redundant skin and a dependent ulceration",C,Skin & Hair
JOCD-20-1591-g001.jpg,PMC9292157,Which nerve corresponds to the yellow structure anterior to the ear?,"[A] Facial nerve (main trunk)
[B] Temporal branch of the facial nerve
[C] Greater auricular nerve (C2–C3)
[D] Auriculotemporal nerve (V3)
[E] Auricular branch of the vagus (Arnold’s nerve)",Facial nerve (main trunk),A,Head & Neck
JOCD-20-1591-g001.jpg,PMC9292157,"If the highlighted nerve were injured, which deficit would most likely occur?","[A] Weakness of jaw opening on the ipsilateral side
[B] Diminished hearing on the ipsilateral side
[C] Inability to smile on the ipsilateral side
[D] Decreased lacrimation from the ipsilateral eye
[E] Loss of taste from the anterior two-thirds of the tongue",Inability to smile on the ipsilateral side,C,Head & Neck
cmcul-3-181-g004.jpg,PMC9009854,Where is the tongue coating most concentrated?,"[A] Mostly along the lateral borders
[B] Tip (anterior third) predominance
[C] Central dorsum
[D] Along the lateral borders only
[E] Posterior dorsum near the vallate papillae/base",Central dorsum,C,Mouth & Jaws
cmcul-3-181-g004.jpg,PMC9009854,Which finding is present in the image?,"[A] Yellow-brown adherent plaque on the tongue surface
[B] Normal pink tongue without visible coating
[C] Diffuse thick white coating on the dorsal tongue
[D] Patchy erythematous denudation consistent with geographic tongue
[E] Thin whitish coating limited to the posterior third of the tongue",Diffuse thick white coating on the dorsal tongue,C,Mouth & Jaws
gox-11-e5027-g017.jpg,PMC10226617,Which outcome is evident from the auricular contour?,"[A] Postauricular scar contracture with loss of sulcus and diminished ear projection
[B] Persistent superior pole deficiency with a flattened helix and inadequate antihelical fold
[C] Elevated cartilage framework shaping the helix and upper pole
[D] Inferior lobule malposition with downward tilt despite adequate upper pole support
[E] Native-appearing auricle without contour change, consistent with no reconstruction",Elevated cartilage framework shaping the helix and upper pole,C,Head & Neck
gox-11-e5027-g017.jpg,PMC10226617,What is the likely reason for the ear findings?,"[A] Tumorous growth
[B] Acute blunt trauma
[C] Post-operative changes
[D] Swelling from infection
[E] Congenital malformation",Post-operative changes,C,Head & Neck
10.1177_20552076221104669-fig4.jpg,PMC9178979,Which immediate instruction would most improve visualization during this video visit?,"[A] Switch to the rear-facing camera for higher resolution
[B] Adjust your grip so the camera lens isn’t covered by your fingers
[C] Sit closer to the wall behind to simplify the background
[D] Tilt the phone slightly downward to reduce ceiling glare
[E] Tap the screen to focus the image",Adjust your grip so the camera lens isn’t covered by your fingers,B,Other
10.1177_20552076221104669-fig4.jpg,PMC9178979,Which adjustment would best enable proper observation of hand range of motion?,"[A] Use digital zoom so the hand fills most of the frame
[B] Place the device on a stable surface to free both hands
[C] Increase room lighting to improve visibility
[D] Hold the phone with the non-examined hand while moving the other
[E] Switch to landscape orientation to widen the view",Place the device on a stable surface to free both hands,B,Trunk & Extremities
gr9.jpg,PMC5851923,Which gait phase is depicted in the image?,"[A] Standing quietly with no specific gait phase
[B] Midstance on the trailing limb with the forward foot in swing
[C] Initial contact (heel strike) of the front foot while the rear foot remains flat
[D] Double-limb support with the leading foot slightly ahead
[E] Pre‑swing/toe‑off of the trailing limb with the heel lifted",Double-limb support with the leading foot slightly ahead,D,Trunk & Extremities
gr9.jpg,PMC5851923,What best describes the weight-bearing status shown?,"[A] Full weight-bearing through both lower limbs
[B] Heel-touch weight bearing on the forward foot without forefoot loading
[C] Non–weight-bearing on the forward foot (placed for balance only)
[D] Toe-touch weight bearing on the trailing foot only
[E] Partial weight-bearing (about 50%) on the forward foot with unloading of the opposite limb",Full weight-bearing through both lower limbs,A,Trunk & Extremities
CTO-06-03-g-002.jpg,PMC3199843,Which description best matches the tissue character seen in the auricle?,"[A] Keloid-like hypertrophic scar limited to the lobule
[B] Indurated and fibrotic
[C] Soft, compressible pseudocyst with clear serous fluid
[D] Rock-hard, calcified chondral ossification (petrified ear)
[E] Fluctuant and boggy, tender hematoma",Indurated and fibrotic,B,Head & Neck
CTO-06-03-g-002.jpg,PMC3199843,Which patient history is most consistent with this ear finding?,"[A] Frostbite of the helix after brief cold exposure last week
[B] Single recent blow to the ear with new tender, fluctuant swelling
[C] Repeated shearing blunt trauma to the auricle during contact sports (wrestling/boxing), with prior undrained auricular hematomas
[D] Recent insect bite to the pinna with transient pruritus and swelling
[E] Allergic contact dermatitis from nickel earrings confined to the earlobe","Repeated shearing blunt trauma to the auricle during contact sports (wrestling/boxing), with prior undrained auricular hematomas",C,Head & Neck
SNI-11-98-g008.jpg,PMC7265414,Which eye shows abnormal lateral deviation on downward gaze?,"[A] No abnormal deviation is present
[B] Patient's right eye (viewer’s left)
[C] Both eyes show symmetric physiologic abduction on down gaze
[D] Patient's left eye (viewer’s right)",Patient's left eye (viewer’s right),D,Eyes
SNI-11-98-g008.jpg,PMC7265414,Which muscle weakness would most likely cause the patient's eye abnormality as shown?,"[A] Levator palpebrae superioris
[B] Sphincter pupillae
[C] Left medial rectus
[D] Left lateral rectus",Left medial rectus,C,Eyes
10.1177_2050313X211031332-fig8.jpg,PMC8267038,Which bedside maneuver is shown by the examiner’s hand as the patient attempts to close the eyes?,"[A] Assessment of eyelid closure strength against resistance
[B] Corneal blink reflex testing
[C] Bell’s phenomenon evaluation during forced lid closure
[D] Frontalis muscle strength testing during attempted eye closure
[E] Levator palpebrae superioris function testing (eyelid opening)",Assessment of eyelid closure strength against resistance,A,Eyes
10.1177_2050313X211031332-fig8.jpg,PMC8267038,"With the forehead stabilized, what finding indicates a normal result?","[A] Complete eyelid closure with no visible gap on either side and resistance to gentle manual opening
[B] Intact corneal blink reflex bilaterally with the forehead held to prevent brow recruitment
[C] Upward globe deviation (Bell’s phenomenon) on forced closure while the forehead is stabilized
[D] Symmetric brow elevation with a small (≤1–2 mm) residual palpebral fissure during closure",Complete eyelid closure with no visible gap on either side and resistance to gentle manual opening,A,Eyes
CTO-13-01-g-011.jpg,PMC4273162,Which finding suggests a congenital rather than traumatic origin?,"[A] Well-healed linear scar along the superior helix with mild keloid thickening
[B] Right-sided V-shaped helical rim defect with exposed cartilage and perichondrial hemorrhage
[C] Bilateral, mirror-image helical rim notches with smooth skin and no tearing or scarring
[D] Fluctuant anterior pinna swelling consistent with acute auricular hematoma","Bilateral, mirror-image helical rim notches with smooth skin and no tearing or scarring",C,Head & Neck
CTO-13-01-g-011.jpg,PMC4273162,Which auricular structure shows the defect in this image?,"[A] Antihelical fold
[B] Tragus
[C] Helical rim
[D] Lobule",Antihelical fold,A,Head & Neck
ORR-13-247-g0007.jpg,PMC8648273,This device is most commonly used to maintain correction after treatment of which condition?,"[A] Congenital vertical talus (rocker-bottom foot)
[B] Calcaneovalgus foot
[C] Metatarsus adductus
[D] Developmental dysplasia of the hip
[E] Clubfoot (talipes equinovarus)",Clubfoot (talipes equinovarus),E,Trunk & Extremities
ORR-13-247-g0007.jpg,PMC8648273,What orthotic device shown in the image?,"[A] Pavlik harness
[B] Foot abduction brace (Denis Browne/Ponseti bar)
[C] Wheaton dynamic AFO (clubfoot brace)
[D] Bilateral ankle–foot orthoses joined by a rigid crossbar",Foot abduction brace (Denis Browne/Ponseti bar),B,Trunk & Extremities
CCR3-9-e04581-g003.jpg,PMC8357077,What abnormality is most apparent in the mandibular anterior teeth?,"[A] Generalized attrition with shortened incisal edges and no cavitated lesions
[B] Mottled enamel from fluorosis/hypoplasia without obvious decay
[C] Multiple tooth-colored (composite) restorations on the labial surfaces
[D] Severe caries with extensive crown destruction
[E] No significant abnormality in the maxillary anterior teeth",Severe caries with extensive crown destruction,D,Mouth & Jaws
CCR3-9-e04581-g003.jpg,PMC8357077,Which statement best describes the lower anterior teeth?,"[A] Severe attrition of the lower incisors without tooth loss
[B] Three mandibular incisors present with one edentulous space and no root fragments
[C] Multiple mandibular incisors missing with retained root stumps
[D] All four mandibular incisors intact and aligned
[E] Fixed bridge replacing the lower incisors from canine to canine",Multiple mandibular incisors missing with retained root stumps,C,Mouth & Jaws
ihad005fig12.jpg,PMC10037267,Which observable sign in the image most suggests fatigue or emotional distress?,"[A] Both hands placed on the head
[B] Head propped by the left hand with a slouched seated posture
[C] Right hand raised to the brow while sitting upright
[D] Head propped by the right hand with a slouched seated posture",Head propped by the right hand with a slouched seated posture,D,Other
ihad005fig12.jpg,PMC10037267,Which posture is being demonstrated?,"[A] Seated on a chair, leaning right with the right hand supporting the head
[B] Seated, slumped forward with both elbows on the knees
[C] Sitting upright on a chair with both hands resting on the lap
[D] Seated on a plastic chair, leaning left with the left hand supporting the forehead","Seated on a chair, leaning right with the right hand supporting the head",A,Trunk & Extremities
gox-9-e3378-g005.jpg,PMC7862073,Which scalp region does the scar primarily traverse?,"[A] Postauricular/mastoid region along the superior nuchal line
[B] Midline vertex incision from frontal hairline to occiput
[C] Preauricular cheek and temple skin crease anterior to the tragus
[D] Right parieto‑occipital scalp near the lambdoid suture
[E] Left temporoparietal scalp just superior to the auricle",Left temporoparietal scalp just superior to the auricle,E,Head & Neck
gox-9-e3378-g005.jpg,PMC7862073,Which surgical approach is suggested by the incision configuration?,"[A] Right postauricular lazy-S incision for cochlear implantation/mastoidectomy
[B] Left question mark incision for temporoparietal flap
[C] Right question-mark frontotemporoparietal flap for hemicraniectomy/cranioplasty
[D] Right retromastoid C-shaped suboccipital approach to the posterior fossa
[E] Left pterional/frontotemporal curvilinear incision for aneurysm surgery",Left question mark incision for temporoparietal flap,B,Surgical & Procedural
CTO-08-03-g-007.jpg,PMC3199820,Which best describes the appearance of the ear region in subfigure a?,"[A] Nodular hypertrophic scar/keloid replacing the auricle
[B] Normal auricular contours with helical rim intact
[C] Flat ear region with partially preserved helix and lobule
[D] Flat, surgically altered area without helical rim
[E] Ear folded posteriorly, helix obscured by hair but otherwise intact","Flat, surgically altered area without helical rim",D,Head & Neck
CTO-08-03-g-007.jpg,PMC3199820,Which subfigure shows an auricular prosthesis?,"[A] Right-hand panel (b)
[B] Both panels
[C] Neither panel
[D] Left-hand panel (a)",Right-hand panel (b),A,Head & Neck
10-1055-s-0039-1695804_19318_26.jpg,PMC6785327,Which facial abnormality has been surgically corrected between figures a and b?,"[A] Cleft palate
[B] Upper lip laceration
[C] Deviated septum
[D] Nasal valve collapse",Deviated septum,C,Head & Neck
10-1055-s-0039-1695804_19318_26.jpg,PMC6785327,"In subfigure a, which nasal view is shown?","[A] Cephalic (dorsal/bird’s-eye) view
[B] Frontal (anterior) view
[C] Right lateral profile view
[D] Alar base oblique view
[E] Basal view of the nasal base",Basal view of the nasal base,E,Head & Neck
ijcpd-16-101-g010.jpg,PMC10474390,Which statement best describes the vertex orientation in the left and right subfigures?,"[A] Left subfigure: vertex points proximally, right subfigure: vertex points distally
[B] Left subfigure: vertex points distally, right subfigure: vertex points proximally
[C] The vertex points proximally toward the wrist in both subfigures
[D] The vertex points distally toward the fingertips in both subfigures
[E] In both subfigures, the vertex is directed toward the ulnar border rather than the wrist",The vertex points proximally toward the wrist in both subfigures,C,Trunk & Extremities
ijcpd-16-101-g010.jpg,PMC10474390,"In the right subfigure, the angle at the vertex is formed by lines from which two points?","[A] t to a and t to d
[B] a to t and a to d
[C] d to t and a to d
[D] t to a and a to d",t to a and t to d,A,Trunk & Extremities
ijspt_2021_16_3_22085_59524.jpg,PMC8169007,"In subfigure (a), what is the primary purpose of elevating one foot during the exercise?","[A] Reduce load on the elevated side
[B] Reduce load on the opposite (stance) side
[C] Encourage hip external rotation on the stance leg
[D] Increase ankle dorsiflexion demand on the stance leg",Reduce load on the elevated side,A,Trunk & Extremities
ijspt_2021_16_3_22085_59524.jpg,PMC8169007,"In subfigure (b), which limb primarily bears weight?","[A] Minimal lower-limb loading, with suspension straps bearing most of the weight
[B] Right limb positioned behind with toes down bears the majority of weight
[C] Left limb planted within the taped square bears the majority of weight
[D] Both limbs share weight equally due to strap assistance",Left limb planted within the taped square bears the majority of weight,C,Trunk & Extremities
JOCR-10-37-g007.jpg,PMC7933643,Which clinical provocative test for wrist/hand symptoms is being performed?,"[A] Durkan's carpal compression test
[B] Phalen's test for carpal tunnel syndrome
[C] Finkelstein's test
[D] Wrist extension range of motion assessment
[E] Tinel's sign at the carpal tunnel",Wrist extension range of motion assessment,D,Trunk & Extremities
JOCR-10-37-g007.jpg,PMC7933643,"If this position provokes paresthesias, which finger is most likely spared?","[A] Second digit (index finger)
[B] First digit (thumb)
[C] Third digit (middle/long finger)
[D] Fifth digit (little finger)
[E] Fourth digit (ring finger)",Fifth digit (little finger),D,Trunk & Extremities
10.1177_1179544119835222-fig5.jpg,PMC6402071,Which assistive device is shown?,"[A] Narrow-base quad cane
[B] Tripod cane
[C] Single-point cane
[D] Hemi-walker",Single-point cane,C,Trunk & Extremities
10.1177_1179544119835222-fig5.jpg,PMC6402071,What is the level of human assistance during ambulation?,"[A] Stand-by assistance during ambulation with a cane (therapist present, no physical contact)
[B] Independent ambulation with a cane and no human assistance
[C] Contact guard assistance from one clinician using a gait belt
[D] Supervision only with intermittent verbal cueing during gait with a cane
[E] Minimal assistance (hand-held assist on the right) while ambulating with a cane",Independent ambulation with a cane and no human assistance,B,Trunk & Extremities
ms9-86-1101-g004.jpg,PMC10849436,Which description best fits the lesions seen?,"[A] Single linear laceration of the left soft palate consistent with trauma
[B] Normal palatal rugae with no focal lesions
[C] Multiple erythematous discoid patches with central ulceration
[D] Multiple erythematous discoid patches without ulceration
[E] Diffuse white plaques that can be scraped off",Multiple erythematous discoid patches with central ulceration,C,Mouth & Jaws
ms9-86-1101-g004.jpg,PMC10849436,Where are the ulcerative lesions located in this image?,"[A] Anterior hard palate behind the incisive papilla
[B] Midline hard palate immediately anterior to the soft palate
[C] Midline soft palate just posterior to the hard palate
[D] Posterolateral hard palate near the upper molars",Midline hard palate immediately anterior to the soft palate,B,Mouth & Jaws
gr7.jpg,PMC11408788,Which head-mounted device indicates brain activity monitoring?,"[A] Virtual-reality head-mounted display
[B] Over-ear noise-cancelling headset
[C] EEG cap with electrode leads
[D] ECG cap with electrode leads",EEG cap with electrode leads,C,Head & Neck
gr7.jpg,PMC11408788,Where do the headgear leads run?,"[A] Down the back toward equipment behind the seat
[B] Along the right forearm to wrist-mounted sensors
[C] Over the left shoulder toward the dashboard tablet
[D] Forward under the seat into the steering column housing",Down the back toward equipment behind the seat,A,Head & Neck
JPBS-7-282-g004.jpg,PMC4439693,How many maxillary anterior teeth are missing?,"[A] Three
[B] Two
[C] Five
[D] Four",Four,D,Mouth & Jaws
CCID-13-127-g0005.jpg,PMC7008639,What does the green horizontal line represent relative to total forehead height?,"[A] A suprabrow marker at approximately 40% of the total height
[B] The trichion/hairline at the superior forehead margin
[C] The midline marking 50% of the total height
[D] An intermediate reference line positioned at 60% of the total forehead height",An intermediate reference line positioned at 60% of the total forehead height,D,Head & Neck
CCID-13-127-g0005.jpg,PMC7008639,Which anatomical landmarks are spanned by the red arrow in this image?,"[A] Pupil center to anterior hairline
[B] Anterior hairline (trichion) to eyebrow level
[C] Glabella to nasal tip
[D] Intermediate (60%) line to eyebrow level
[E] Anterior hairline (trichion) to the intermediate (60%) line",Intermediate (60%) line to eyebrow level,D,Head & Neck
KITP-13-28425-g003.jpg,PMC5071603,What type of device is shown?,"[A] 3D-printed, body-powered upper arm prosthesis
[B] Activity-specific upper arm prosthesis
[C] Myoelectric (bionic) upper arm prosthesis
[D] Passive (cosmetic) upper arm prosthesis","3D-printed, body-powered upper arm prosthesis",A,Trunk & Extremities
KITP-13-28425-g003.jpg,PMC5071603,"For the individual with a striped shirt, what is the most likely right-upper-limb amputation level?","[A] Transradial (below elbow, mid-forearm)
[B] Shoulder disarticulation
[C] Transhumeral (above elbow, distal humerus)
[D] Elbow disarticulation","Transradial (below elbow, mid-forearm)",A,Trunk & Extremities
ijspt_2021_16_6_29923_75626.jpg,PMC8637265,Which shoulder movement is the top arm performing?,"[A] Abduction (scaption)
[B] External rotation
[C] Internal rotation
[D] Horizontal abduction
[E] Extension",External rotation,B,Trunk & Extremities
ijspt_2021_16_6_29923_75626.jpg,PMC8637265,Where is the resistance band anchored?,"[A] Held by the lower hand
[B] Secured under the upper forearm against the torso
[C] Looped around the ankles near the foot of the table
[D] Clipped to the near table edge at waist level",Held by the lower hand,A,Trunk & Extremities
sccaa-10-001Fig5.jpg,PMC5506773,"In the left panel, the hair-loss pattern is most consistent with which diagnosis?","[A] Normal hairline, apparent recession due to hair styling/lighting artifact
[B] Frontal fibrosing alopecia causing scarring recession of the anterior hairline
[C] Androgenetic (male-pattern) alopecia with bilateral frontotemporal recession
[D] Traction alopecia from chronic headband use with marginal frontal thinning",Androgenetic (male-pattern) alopecia with bilateral frontotemporal recession,C,Skin & Hair
sccaa-10-001Fig5.jpg,PMC5506773,"In the mid-frontal scalp, what change is seen at 24 weeks (right) compared with baseline (left)?","[A] Increased density with thicker hair shafts
[B] Increased density comprised mainly of fine, miniaturized hairs
[C] Inferior advancement of the frontal hairline without change in shaft caliber
[D] No appreciable change in the mid-frontal scalp
[E] Decreased density with wider spacing between hairs",Increased density with thicker hair shafts,A,Skin & Hair
JIPS-19-266-g004.jpg,PMC6685333,What finding is present in the right eye?,"[A] Glass prosthetic
[B] Gel contact lens
[C] Conjunctivitis
[D] Wax prosthetic
[E] Subconjunctival hemorrhage",Wax prosthetic,D,Eyes
266_2010_9650_Fig1_HTML.jpg,PMC3146709,Which feature is indicated by label 2?,"[A] Lower eyelid festoons
[B] Tear trough deformity
[C] Malar mounds (malar edema)
[D] Palpebral bags (preseptal fat prolapse)",Malar mounds (malar edema),C,Head & Neck
266_2010_9650_Fig1_HTML.jpg,PMC3146709,Which numbered area is closest to the lower eyelid margin?,"[A] All are approximately the same distance from the lower eyelid margin
[B] 3
[C] 1
[D] 2",3,B,Eyes
medhum-2012-010274f09.jpg,PMC3664391,Which abdominal feature is visible?,"[A] Rectus abdominis with tendinous inscriptions
[B] Prominent linea alba indicating diastasis recti
[C] External oblique aponeurosis with transverse tendinous inscriptions
[D] Postoperative midline laparotomy scar
[E] Supra-umbilical epigastric hernia",Rectus abdominis with tendinous inscriptions,A,Trunk & Extremities
