pmcid,pmc_version,license_code,doi,n_images,n_questions,title,citation
PMC10497337,1,CC BY-NC-ND,10.1055/s-0042-1759692,1,2,Facial Feminization Surgery: Preoperative Planning and Surgical Technique for a Harmonious Outcome,Indian J Plast Surg. 2023 Jun 23;56(4):298–309. doi: 10.1055/s-0042-1759692
PMC10562057,1,CC BY-NC-ND,10.1055/s-0043-1769498,1,2,Noise Exposure and Hearing Loss among Workers at a Hammer Forge Company,Semin Hear. 2023 Jun 16;44(4):485–502. doi: 10.1055/s-0043-1769498
PMC10583076,1,CC BY-NC,10.1136/bmjgh-2023-012727,1,2,Hear my voice: understanding how community health workers in the Peruvian Amazon expanded their roles to mitigate the impact of the COVID-19 pandemic through community-based participatory research,BMJ Glob Health. 2023 Oct 13;8(10):e012727. doi: 10.1136/bmjgh-2023-012727
PMC10626592,1,CC BY-NC-ND,10.12659/AJCR.939595,1,2,Painless Orbital Bone Infarction in a Child with Sickle Cell Anemia: A Case of Misdiagnosed Periorbital Cellulitis,Am J Case Rep. 2023 Nov 2;24:e939595-1–6. doi: 10.12659/AJCR.939595
PMC10679920,1,CC BY-NC-SA,10.5114/hpr.2022.115795,1,2,Living with COVID-19: emotions and health during the pandemic,Health Psychol Rep. 2022 May 4;10(3):212–26. doi: 10.5114/hpr.2022.115795
PMC10693490,1,CC BY-NC,10.26603/001c.89926,2,4,Neurocognitive and Reactive Return to Play Testing Protocol in Overhead Athletes Following Upper Extremity Injury,Int J Sports Phys Ther. 2023 Dec 1;18(6):1364–75. doi: 10.26603/001c.89926
PMC10721370,1,CC BY-NC-ND,10.1055/s-0043-1775866,1,2,“Lid Switch Flap” for Subtotal Upper Eyelid Reconstruction: Where the Flap Pedicle and the Point of Rotation Should be Located,Indian J Plast Surg. 2023 Oct 16;56(6):530–4. doi: 10.1055/s-0043-1775866
PMC10729832,1,CC BY-NC,10.2147/IMCRJ.S438833,2,4,"The Forgotten Disease in the 21st Century: Scurvy Outbreak in Hawassa Central Prison, Hawassa, Sidama, Southern Ethiopia, 2023",Int Med Case Rep J. 2023 Dec 15;16:847–66. doi: 10.2147/IMCRJ.S438833
PMC10761629,1,CC BY-NC,10.26603/001c.90707,1,2,Physically Active Adults with Low Back Pain do not Demonstrate Altered Deadlift Mechanics: A Novel Application of Myotonometry to Estimate Inter-Muscular Load Sharing,Int J Sports Phys Ther. 2024 Jan 2;19(1):1462–72. doi: 10.26603/001c.90707
PMC10781125,1,CC BY-NC-ND,10.1097/GOX.0000000000005517,1,2,Nuchal-type Fibroma Induced by Repetitive Trauma from Weightlifting: Case Report and Comprehensive Review of Literature,Plast Reconstr Surg Glob Open. 2024 Jan 10;12(1):e5517. doi: 10.1097/GOX.0000000000005517
PMC10805042,1,CC BY-NC,10.14744/SEMB.2023.77200,1,2,Acute Effect of Transcutaneous Auricular Vagus Nerve Stimulation on Hand Tremor in Parkinson's Disease: A Pilot Study of Case Series,Sisli Etfal Hastan Tip Bul. 2023 Dec 29;57(4):513–9. doi: 10.14744/SEMB.2023.77200
PMC10823833,1,CC BY-NC-SA,10.13107/jocr.2024.v14.i01.4176,1,2,A Rare Case of Grisel’s Syndrome in A 6-Year-Old Child,J Orthop Case Rep. 2024 Jan;14(1):137–40. doi: 10.13107/jocr.2024.v14.i01.4176
PMC10837815,1,CC BY-NC,10.26603/001c.91642,1,2,Clinical Diagnosis of Scapular Dyskinesis in a Youth Softball Pitcher: A Case Report,Int J Sports Phys Ther. 2024 Feb 1;19(2):238–44. doi: 10.26603/001c.91642
PMC10849436,1,CC BY-NC-ND,10.1097/MS9.0000000000001602,1,2,Epidermodysplasia verruciformis arising in a female with systemic lupus erythematosus: a rare case from Syria,Ann Med Surg (Lond). 2024 Jan 3;86(2):1101–5. doi: 10.1097/MS9.0000000000001602
PMC10929313,1,CC BY-NC-ND,10.21037/aoj-23-3,6,12,"A clinical practice review of therapeutic movement-based anterior cruciate ligament reconstruction return to sports bridge program: the biological, biomechanical and behavioral rationale",Ann Jt. 2023 Jul 3;8:23. doi: 10.21037/aoj-23-3
PMC10978500,1,CC BY-NC,10.5005/jp-journals-10005-2746,1,2,Prosthetic Management of an Eviscerated Eye of a 13-month-old Patient: A Case Report,Int J Clin Pediatr Dent. 2024 Jan;17(1):89–91. doi: 10.5005/jp-journals-10005-2746
PMC11003818,1,CC BY-NC,10.1093/rap/rkae022,1,2,Current and future advances in practice: tendinopathies of the hip,Rheumatol Adv Pract. 2024 Apr 10;8(2):rkae022. doi: 10.1093/rap/rkae022
PMC11043999,1,CC BY-NC-SA,10.13107/jocr.2024.v14.i04.4396,1,2,Tension Band Wiring in Gap Non-union Patella – A Simple Technique with Profound Results: Case Report,J Orthop Case Rep. 2024 Apr;14(4):160–4. doi: 10.13107/jocr.2024.v14.i04.4396
PMC11088804,1,CC BY-NC,10.1177/20556683241240488,1,2,Acute orthostatic responses during early mobilisation of patients with acquired brain injury - Innowalk pro versus standing frame,J Rehabil Assist Technol Eng. 2024 May 10;11:20556683241240488. doi: 10.1177/20556683241240488
PMC11097739,1,CC BY-NC,10.1177/11779322241231108,1,2,Human Pose Estimation for Clinical Analysis of Gait Pathologies,Bioinform Biol Insights. 2024 May 15;18:11779322241231108. doi: 10.1177/11779322241231108
PMC11144659,1,CC BY-NC,10.26603/001c.117773,1,2,Rehabilitation Following ACL Repair with Internal Brace Ligament Augmentation in Female Gymnast: A Resident’s Case Report,Int J Sports Phys Ther. 2024 Jun 1;19(6):745–57. doi: 10.26603/001c.117773
PMC11232788,1,CC BY-NC-SA,10.4103/jwas.jwas_132_23,1,2,Optical iridectomy: A stop-gap for penetrating keratoplasty in a resource-limited setting,J West Afr Coll Surg. 2024 May 24;14(3):352–4. doi: 10.4103/jwas.jwas_132_23
PMC11264825,1,CC BY-NC-SA,10.1017/wtc.2020.10,1,1,Design and preliminary evaluation of a flexible exoskeleton to assist with lifting,Wearable Technol. 2021 Jan 11;1:e10. doi: 10.1017/wtc.2020.10
PMC11295862,1,CC BY-NC-ND,10.1016/j.heliyon.2024.e34255,1,2,Effects of 12 weeks of head-down strong abdominal breathing on motor and cognitive performance during dual-tasking in patients with chronic obstructive pulmonary disease: Study protocol for a randomised controlled trial,Heliyon. 2024 Jul 8;10(14):e34255. doi: 10.1016/j.heliyon.2024.e34255
PMC11297479,1,CC BY-NC,10.26603/001c.120900,1,2,Rehabilitation of an Upper Extremity Weight-Bearing Athlete with an Ulnar Collateral Ligament Injury: A Case Report,Int J Sports Phys Ther. 2024 Aug 1;19(8):1034–43. doi: 10.26603/001c.120900
PMC11299288,1,CC BY-NC-ND,10.1186/s12984-024-01423-9,2,4,Smart ArM: a customizable and versatile robotic arm prosthesis platform for Cybathlon and research,J Neuroeng Rehabil. 2024 Aug 5;21:136. doi: 10.1186/s12984-024-01423-9
PMC11307015,1,CC BY-NC,10.3233/PRM-220121,1,2,Rehabilitation and functional outcomes for thoraco-omphalo-ischiopagus conjoined twins five years after separation: A case report,J Pediatr Rehabil Med. 2024 Jun 26;17(2):261–9. doi: 10.3233/PRM-220121
PMC11339470,1,CC BY-NC,10.5005/jp-journals-10005-2738,1,2,The Effect of Three-point Acupressure Therapy on Anxiety Levels in Children Undergoing Dental Procedures,Int J Clin Pediatr Dent. 2024 Feb;17(2):136–42. doi: 10.5005/jp-journals-10005-2738
PMC11407576,1,CC BY-NC-SA,10.4103/ijd.ijd_712_23,1,2,"Sparse Hair, Missing Teeth, Dry Skin: An Uncommon but Classic Condition",Indian J Dermatol. 2024 Aug 19;69(4):366. doi: 10.4103/ijd.ijd_712_23
PMC11408788,1,CC BY-NC-ND,10.1016/j.heliyon.2024.e35291,1,2,Effect of expressway exit deceleration markings on distracted drivers in China,Heliyon. 2024 Aug 2;10(17):e35291. doi: 10.1016/j.heliyon.2024.e35291
PMC11412701,1,CC BY-NC-ND,10.1097/GOX.0000000000006190,1,2,A Novel Hybrid Injectable for Soft-tissue Augmentation: Analysis of Data and Practical Experience,Plast Reconstr Surg Glob Open. 2024 Sep 19;12(9):e6190. doi: 10.1097/GOX.0000000000006190
PMC11438088,1,CC BY-NC-ND,10.1186/s12903-024-04859-6,5,9,“Mucopolysaccharidosis syndrome in a 9-Year-old boy: oral-dental management and diagnostic considerations”: a case report,BMC Oral Health. 2024 Sep 27;24:1140. doi: 10.1186/s12903-024-04859-6
PMC11458240,1,CC BY-NC-SA,10.13107/jocr.2024.v14.i10.4826,1,2,Sclerotherapy as a Primary or Salvage Procedure For Aneurysmal Bone Cyst: A Case Report,J Orthop Case Rep. 2024 Oct;14(10):102–6. doi: 10.13107/jocr.2024.v14.i10.4826
PMC11463044,1,CC BY-NC,10.33393/aop.2024.3049,1,2,Intra- and inter-rater reliability of goniometric finger range of motion using a written protocol,Arch Physiother. 2024 Oct 8;14:83–8. doi: 10.33393/aop.2024.3049
PMC2872008,1,CC BY-NC,10.1007/s00266-009-9414-0,3,6,ArteFill® Permanent Injectable for Soft Tissue Augmentation: II. Indications and Applications,Aesthetic Plast Surg. 2009 Sep 29;34(3):273–86. doi: 10.1007/s00266-009-9414-0
PMC2938632,1,CC BY-NC-SA,10.4103/0970-0358.63957,1,2,Mammoth orbitofrontal neurofibromatosis with herniating meningo-encephalocele,Indian J Plast Surg. 2010 Jan-Jun;43(1):81–3. doi: 10.4103/0970-0358.63957
PMC2962780,1,CC BY-NC,10.1007/s00431-010-1253-0,1,2,Clinical practice: The care of children with Down syndrome,Eur J Pediatr. 2010 Jul 15;169(12):1445–52. doi: 10.1007/s00431-010-1253-0
PMC3115275,1,CC BY-NC-SA,10.4103/2152-7806.81735,1,2,Cranioplasty with subcutaneously preserved autologous bone grafts in abdominal wall—Experience with 75 cases in a post-war country Kosova,Surg Neurol Int. 2011 May 28;2:72. doi: 10.4103/2152-7806.81735
PMC3146709,1,CC BY-NC,10.1007/s00266-010-9650-3,1,2,Vertical Subperiosteal Mid-face-lift for Treatment of Malar Festoons,Aesthetic Plast Surg. 2011 Mar 17;35(4):522–9. doi: 10.1007/s00266-010-9650-3
PMC3162774,1,CC BY-NC-SA,10.4103/1817-1745.57328,1,2,Pediatric craniofacial surgery for craniosynostosis: Our experience and current concepts: Parts -2,J Pediatr Neurosci. 2009 Jul-Dec;4(2):100–7. doi: 10.4103/1817-1745.57328
PMC3183721,1,CC BY-NC-SA,10.4103/0974-2077.85042,2,4,Conchal Defect Correction by Hinge Flap and Transposition Flap,J Cutan Aesthet Surg. 2011 May-Aug;4(2):138–40. doi: 10.4103/0974-2077.85042
PMC3199820,1,CC BY-NC-ND,10.3205/cto000055,1,2,Implant-retained craniofacial prostheses for facial defects,GMS Curr Top Otorhinolaryngol Head Neck Surg. 2011 Mar 10;8:Doc03. doi: 10.3205/cto000055
PMC3199840,1,CC BY-NC-ND,,1,2,Reconstruction of the auricle,GMS Curr Top Otorhinolaryngol Head Neck Surg. 2008 Mar 14;6:Doc02.
PMC3199843,1,CC BY-NC-ND,,9,17,Complications of auricular correction,GMS Curr Top Otorhinolaryngol Head Neck Surg. 2008 Mar 14;6:Doc03.
PMC3201006,1,CC BY-NC-ND,,3,6,Diagnostic and therapeutic-restorative procedures for masticatory dysfunctions,GMS Curr Top Otorhinolaryngol Head Neck Surg. 2005 Sep 28;4:Doc19.
PMC3203725,1,CC BY-NC-ND,,1,2,Bilateral SMAS rhytidectomy in parotid recurrent pleomorphic adenoma,Acta Otorhinolaryngol Ital. 2011 Aug;31(4):256–8.
PMC3208920,1,CC BY-NC-SA,10.4103/1817-1745.85704,1,2,Hydrocephalus Indian scenario – A review,J Pediatr Neurosci. 2011 Oct;6(Suppl1):S11–22. doi: 10.4103/1817-1745.85704
PMC3208921,1,CC BY-NC-SA,10.4103/1817-1745.85705,1,2,Craniostenosis,J Pediatr Neurosci. 2011 Oct;6(Suppl1):S23–6. doi: 10.4103/1817-1745.85705
PMC3214312,1,CC BY-NC-SA,10.4103/0971-6866.86199,1,2,"Congenital erythropoietic porphyria with two mutations of the uroporphyrinogen III synthase gene (Cys73Arg, Thr228Met)",Indian J Hum Genet. 2011 May-Aug;17(2):104–7. doi: 10.4103/0971-6866.86199
PMC3232561,1,CC BY-NC-SA,,1,2,A brief history of cardiac pacing,Images Paediatr Cardiol. 2006 Apr-Jun;8(2):17–81.
PMC3276866,1,CC BY-NC-SA,10.4103/0976-237X.91802,1,2,Non-rigid connector: The wand to allay the stresses on abutment,Contemp Clin Dent. 2011 Oct-Dec;2(4):351–4. doi: 10.4103/0976-237X.91802
PMC3304204,1,CC BY-NC-SA,10.4103/0975-5950.79217,2,4,Surgical–orthodontic treatment of a skeletal class III malocclusion,Natl J Maxillofac Surg. 2010 Jul-Dec;1(2):143–9. doi: 10.4103/0975-5950.79217
PMC3326850,1,CC BY-NC-SA,10.4103/2589-0557.93824,1,1,Immune reconstitution disease or mycobacteria other than tuberculosis or both: A dilemma in a patient of AIDS,Indian J Sex Transm Dis AIDS. 2012 Jan-Jun;33(1):44–6. doi: 10.4103/2589-0557.93824
PMC3334490,1,CC BY-NC,10.1007/s10728-011-0176-x,1,2,The Photo-Instrument as a Health Care Intervention,Health Care Anal. 2011 May 20;20(2):177–95. doi: 10.1007/s10728-011-0176-x
PMC3339071,1,CC BY-NC-SA,10.4103/0301-4738.94053,2,4,Principles and practice of external digital photography in ophthalmology,Indian J Ophthalmol. 2012 Mar-Apr;60(2):119–25. doi: 10.4103/0301-4738.94053
PMC3371544,1,CC BY-NC-SA,10.4103/0019-5154.96227,1,2,A Study on Cutaneous Manifestations of Thyroid Disease,Indian J Dermatol. 2012 May-Jun;57(3):247–8. doi: 10.4103/0019-5154.96227
PMC3373998,1,CC BY-NC,10.5792/ksrr.2012.24.2.113,1,2,Correlation between Hamstring Flexor Power Restoration and Functional Performance Test: 2-Year Follow-Up after ACL Reconstruction Using Hamstring Autograft,Knee Surg Relat Res. 2012 May 31;24(2):113–9. doi: 10.5792/ksrr.2012.24.2.113
PMC3400879,1,CC BY-NC,10.5535/arm.2012.36.3.386,1,2,Effect of Lower Limb Strength on Falls and Balance of the Elderly,Ann Rehabil Med. 2012 Jun 30;36(3):386–93. doi: 10.5535/arm.2012.36.3.386
PMC3442473,1,CC BY-NC-SA,10.4103/0301-4738.98720,1,2,Spontaneous globe luxation associated with chronic obstructive pulmonary disease,Indian J Ophthalmol. 2012 Jul-Aug;60(4):324–5. doi: 10.4103/0301-4738.98720
PMC3443699,1,CC BY-NC,10.5491/SHAW.2012.3.3.235,1,1,Asbestos Exposure among Mitering Workers,Saf Health Work. 2012 Aug 30;3(3):235–40. doi: 10.5491/SHAW.2012.3.3.235
PMC3445997,1,CC BY-NC,,1,2,Goldenhar Syndrome in an Infant of Diabetic Mother,Iran J Pediatr. 2010 Mar;20(1):131–4.
PMC3564104,1,CC BY-NC,,1,2,Treatment of Bilateral Macrostomia (Lateral Lip Cleft): Case Report,Iran J Pediatr. 2012 Sep;22(3):425–7.
PMC3597930,1,CC BY-NC,10.4047/jap.2013.5.1.9,1,2,A determination of occlusal plane comparing different levels of the tragus to form ala-tragal line or Camper's line: A photographic study,J Adv Prosthodont. 2013 Feb 28;5(1):9–15. doi: 10.4047/jap.2013.5.1.9
PMC3612208,1,CC BY-NC-SA,10.4103/1735-3327.104890,1,2,Infantile hemiplegia in pediatric dental set-up,Dent Res J (Isfahan). 2012 Sep-Oct;9(5):651–4. doi: 10.4103/1735-3327.104890
PMC3612336,1,CC BY-NC-SA,10.4103/0975-7406.106561,1,2,Current interventions in the management of knee osteoarthritis,J Pharm Bioallied Sci. 2013 Jan-Mar;5(1):30–8. doi: 10.4103/0975-7406.106561
PMC3633325,1,CC BY-NC,10.3109/03009734.2012.744374,1,2,"Immobilizing performances, comfort, and user-friendliness of the shoulder abduction-external rotation braces",Ups J Med Sci. 2013 May;118(2):105–10. doi: 10.3109/03009734.2012.744374
PMC3633391,1,CC BY-NC,10.5455/msm.2012.24.242-247,1,2,Early and Correct Diagnosis of Celiac Disease in the Prevention of Growth Disorders and Child Development,Mater Sociomed. 2012;24(4):242–7. doi: 10.5455/msm.2012.24.242-247
PMC3640229,1,CC BY-NC-SA,10.4103/2152-7806.110146,1,2,"Violence, mental illness, and the brain – A brief history of psychosurgery: Part 1 – From trephination to lobotomy",Surg Neurol Int. 2013 Apr 5;4:49. doi: 10.4103/2152-7806.110146
PMC3664391,1,CC BY-NC,10.1136/medhum-2012-010274,1,2,Identifying the patient in George W Lambert's Chesham Street,Med Humanit. 2013 Jan 24;39(1):20–8. doi: 10.1136/medhum-2012-010274
PMC3665107,1,CC BY-NC-SA,10.4103/0974-8520.108852,2,3,Importance of Rookshana Karma (dehydrating therapy) in the management of transverse myelitis,Ayu. 2012 Jul-Sep;33(3):402–5. doi: 10.4103/0974-8520.108852
PMC3690728,1,CC BY-NC,10.5812/asjsm.34488,1,2,Patellofemoral Pain Syndrome and Modifiable Intrinsic Risk Factors; How to Assess and Address?,Asian J Sports Med. 2013 Feb 12;4(2):85–100. doi: 10.5812/asjsm.34488
PMC3700156,1,CC BY-NC-SA,10.4103/0975-5950.111380,1,2,Unilateral coronoid hyperplasia treated by coronoidectomy using a transzygomatic approach,Natl J Maxillofac Surg. 2012 Jul-Dec;3(2):195–8. doi: 10.4103/0975-5950.111380
PMC3703682,1,CC BY-NC-SA,10.4103/0976-237X.111632,1,2,Aesthetic rehabilitation with multiple loop connectors,Contemp Clin Dent. 2013 Jan-Mar;4(1):112–5. doi: 10.4103/0976-237X.111632
PMC3740470,1,CC BY-NC,,1,2,Management of Bilateral Congenital Upper Eyelid Eversion with Severe Chemosis,J Ophthalmic Vis Res. 2013 Apr;8(2):175–8.
PMC3740664,1,CC BY-NC-SA,10.4103/0975-7406.114314,1,2,Ectodermal dysplasia in identical twins,J Pharm Bioallied Sci. 2013 Jul;5(Suppl 2):S150–3. doi: 10.4103/0975-7406.114314
PMC3776668,1,CC BY-NC-ND,10.2478/bjmg-2013-0010,1,2,16p Subtelomeric Duplication with Vascular Anomalies: an Albanian Case Report and Literature Review,Balkan J Med Genet. 2013 Apr 2;15(2):73–6. doi: 10.2478/bjmg-2013-0010
PMC3800386,1,CC BY-NC-SA,10.4103/0975-5950.117886,1,2,Relevance of anterior mandibular body ostectomy in mandibular prognathism,Natl J Maxillofac Surg. 2013 Jan-Jun;4(1):57–65. doi: 10.4103/0975-5950.117886
PMC3805986,1,CC BY-NC,10.2174/1874210620130807002,1,2,Treatment of a Class II Division 2 Patient with Severe Skeletal Discrepancy by Using a Custom Made TPA Proclination Spring,Open Dent J. 2013 Sep 20;7:109–17. doi: 10.2174/1874210620130807002
PMC3818773,1,CC BY-NC-ND,10.1589/jpts.25.1197,1,2,The Theory and Technique of Yamuna Body Rolling,J Phys Ther Sci. 2013 Oct 20;25(9):1197–200. doi: 10.1589/jpts.25.1197
PMC3872620,1,CC BY-NC-SA,,3,6,Genetic alterations in syndromes with oral manifestations,Dent Res J (Isfahan). 2013 Nov-Dec;10(6):713–22.
PMC3884542,1,CC BY-NC-ND,10.3205/cto000099,2,4,"Aesthetic rhinoplasty plus brow, eyelid and conchal surgery: pitfalls – complications – prevention",GMS Curr Top Otorhinolaryngol Head Neck Surg. 2013 Dec 13;12:Doc07. doi: 10.3205/cto000099
PMC3886088,1,CC BY-NC-ND,10.5037/jomr.2012.3306,1,2,A Simplified Technique for Orientation of a Bone Anchored Auricular Prostheses: a Clinical Report,J Oral Maxillofac Res. 2012 Oct 1;3(3):e6. doi: 10.5037/jomr.2012.3306
PMC3897109,1,CC BY-NC-SA,10.4103/0970-0358.122026,2,4,Total upper and lower eyelid reconstruction using deltopectoral flap,Indian J Plast Surg. 2013 Sep-Dec;46(3):581–3. doi: 10.4103/0970-0358.122026
PMC3901907,1,CC BY-NC-SA,10.4103/0970-0358.118602,2,4,Unfavorable results in replantation,Indian J Plast Surg. 2013 May-Aug;46(2):256–64. doi: 10.4103/0970-0358.118602
PMC3901917,1,CC BY-NC-SA,10.4103/0970-0358.118614,1,2,Unfavourable results in facial rejuvenation surgery: How to avoid them,Indian J Plast Surg. 2013 May-Aug;46(2):359–64. doi: 10.4103/0970-0358.118614
PMC3906659,1,CC BY-NC-SA,10.4103/2156-7514.124056,1,2,Giant Pindborg Tumor (Calcifying Epithelial Odontogenic Tumor): An Unusual Case Report with Radiologic-Pathologic Correlation,J Clin Imaging Sci. 2013 Dec 31;3(Suppl 1):11. doi: 10.4103/2156-7514.124056
PMC3955309,1,CC BY-NC-SA,,1,2,Treatment of severe rotations of maxillary central incisors with whip appliance: Report of three cases,Dent Res J (Isfahan). 2014 Jan-Feb;11(1):133–9.
PMC3961892,1,CC BY-NC-SA,10.4103/0975-5950.127648,1,2,Zygomatic complex fracture: A comparative evaluation of stability using titanium and bio-resorbable plates as one point fixation,Natl J Maxillofac Surg. 2013 Jul-Dec;4(2):181–7. doi: 10.4103/0975-5950.127648
PMC3977213,1,CC BY-NC,10.5812/asjsm.34250,1,2,Evaluation of Relationship between Trunk Muscle Endurance and Static Balance in Male Students,Asian J Sports Med. 2013 Nov 15;4(4):289–94. doi: 10.5812/asjsm.34250
PMC3996414,1,CC BY-NC-ND,10.1589/jpts.26.525,1,2,Effect of Resistance Training Maintaining the Joint Angle-torque Profile Using a Haptic-based Machine on Shoulder Internal and External Rotation,J Phys Ther Sci. 2014 Apr 23;26(4):525–8. doi: 10.1589/jpts.26.525
PMC4064241,1,CC BY-NC-SA,10.4103/0301-4738.99863,1,2,Spheniodal mucocele causing bilateral optic neuropathy and ophthalmoplegia,Indian J Ophthalmol. 2014 Apr;62(4):515–7. doi: 10.4103/0301-4738.99863
PMC4073456,1,CC BY-NC-SA,10.4103/2231-0746.133068,2,4,Role of intraoral distractors in management of cranial synostosis: An initial experience,Ann Maxillofac Surg. 2014 Jan-Jun;4(1):24–9. doi: 10.4103/2231-0746.133068
PMC4097904,1,CC BY-NC-SA,10.4103/0973-6131.133932,1,2,Role of integrated approach of yoga therapy in a failed post-total knee replacement of bilateral knees,Int J Yoga. 2014 Jul-Dec;7(2):160–4. doi: 10.4103/0973-6131.133932
PMC4097917,1,CC BY-NC-SA,10.4103/0973-6131.123486,1,2,Effect of yoga on the Myofascial Pain Syndrome of neck,Int J Yoga. 2014 Jan-Jun;7(1):54–9. doi: 10.4103/0973-6131.123486
PMC4130914,1,CC BY-NC,10.4041/kjod.2014.44.4.184,1,2,Facial profile parameters and their relative influence on bilabial prominence and the perceptions of facial profile attractiveness: A novel approach,Korean J Orthod. 2014 Jul 24;44(4):184–94. doi: 10.4041/kjod.2014.44.4.184
PMC4157265,1,CC BY-NC-SA,10.4103/0975-7406.137464,1,2,Lymphoepithelial cyst of the submandibular gland,J Pharm Bioallied Sci. 2014 Jul;6(Suppl 1):S185–7. doi: 10.4103/0975-7406.137464
PMC4157278,1,CC BY-NC-SA,10.4103/0975-7406.137385,1,2,Audit on titanium reconstruction of mandibular defects for jaw lesions,J Pharm Bioallied Sci. 2014 Jul;6(Suppl 1):S39–43. doi: 10.4103/0975-7406.137385
PMC4170209,1,CC BY-NC,10.1136/bmjopen-2014-005848,1,2,Are schoolteachers able to teach first aid to children younger than 6 years? A comparative study,BMJ Open. 2014 Sep 19;4(9):e005848. doi: 10.1136/bmjopen-2014-005848
PMC4174163,1,CC BY-NC-ND,10.1097/GOX.0b013e3182a8c597,2,4,The “Posterior Cervical Lift”: A New Approach to Pterygium Colli Management,Plast Reconstr Surg Glob Open. 2013 Oct 7;1(6):e46. doi: 10.1097/GOX.0b013e3182a8c597
PMC4174167,1,CC BY-NC-ND,10.1097/GOX.0b013e31828c2416,1,2,Use of Hyperbaric Oxygen as Adjunct in Salvage of Near-complete Ear Amputation,Plast Reconstr Surg Glob Open. 2013 May 7;1(1):e1-e5. doi: 10.1097/GOX.0b013e31828c2416
PMC4174170,1,CC BY-NC-ND,10.1097/GOX.0b013e31828c66b0,1,2,Semipermanent Volumization by an Absorbable Filler: Onlay Injection Technique to the Bone,Plast Reconstr Surg Glob Open. 2013 May 7;1(1):e4-e14. doi: 10.1097/GOX.0b013e31828c66b0
